fitnessCallNoOverall,fitnessCallNoByClusterGroup,dependentClusterGroup,searchStepName,iterationNumber,generationNumber,computedFitnessScore,computedInconsistenciesObjectiveScore,computedAestheticObjectiveScore
142,142,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9991034055198,796.0,355.02008032128504
143,143,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9998984117419,796.0,3133.3333333333326
144,144,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9998984117419,796.0,3133.3333333333326
145,145,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9999045070371,796.0,3333.3333333333326
146,146,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9999045070371,796.0,3333.3333333333326
147,147,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9999045070371,796.0,3333.3333333333326
148,148,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9999045070371,796.0,3333.3333333333326
149,149,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1.9100000999101125E7,1000000.0,354.11912273218
150,150,"[C8, C17, C7, C39, C15, C25]",avm,1,1,852.9991011243967,852.0,354.11912273218
151,151,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9996589538239,796.0,933.3333333333331
152,152,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1.9100000999658953E7,1000000.0,933.3333333333331
153,153,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1.9100000999141384E7,1000000.0,370.72316384180783
154,154,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9991413832606,796.0,370.72316384180783
155,155,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9999045070371,796.0,3333.3333333333326
156,156,"[C8, C17, C7, C39, C15, C25]",avm,1,1,818.9999045070371,818.0,3333.3333333333326
157,157,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9999045070371,796.0,3333.3333333333326
158,158,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9999045070371,796.0,3333.3333333333326
159,159,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9997612676301,796.0,1333.3333333333337
160,160,"[C8, C17, C7, C39, C15, C25]",avm,1,1,782.9997612676301,782.0,1333.3333333333337
161,161,"[C8, C17, C7, C39, C15, C25]",avm,1,1,754.9997612676301,754.0,1333.3333333333337
162,162,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9997612676301,459.0,1333.3333333333337
163,163,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9997612676301,459.0,1333.3333333333337
164,164,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9997612676301,459.0,1333.3333333333337
165,165,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9997612676301,459.0,1333.3333333333337
166,166,"[C8, C17, C7, C39, C15, C25]",avm,1,1,848.9997612676301,848.0,1333.3333333333337
167,167,"[C8, C17, C7, C39, C15, C25]",avm,1,1,782.9997612676301,782.0,1333.3333333333337
168,168,"[C8, C17, C7, C39, C15, C25]",avm,1,1,754.9997612676301,754.0,1333.3333333333337
169,169,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9997612676301,459.0,1333.3333333333337
170,170,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9997612676301,459.0,1333.3333333333337
171,171,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9997612676301,459.0,1333.3333333333337
172,172,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9997612676301,459.0,1333.3333333333337
173,173,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1.910000099911918E7,1000000.0,361.37830929917004
174,174,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9991191804668,796.0,361.37830929917004
175,175,"[C8, C17, C7, C39, C15, C25]",avm,1,1,847.9993179084307,847.0,466.6666666666665
176,176,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1.9100000999317907E7,1000000.0,466.6666666666665
177,177,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1.9100000999242645E7,1000000.0,420.28985507246364
178,178,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.999242643424,796.0,420.28985507246364
179,179,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9997612676301,796.0,1333.3333333333337
180,180,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9997612676301,796.0,1333.3333333333337
181,181,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9997612676301,796.0,1333.3333333333337
182,182,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9997612676301,796.0,1333.3333333333337
183,183,"[C8, C17, C7, C39, C15, C25]",avm,1,1,767.9990888100666,767.0,349.33333333333326
184,184,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9991652731909,459.0,381.33333333333326
185,185,"[C8, C17, C7, C39, C15, C25]",avm,1,1,719.9992852334929,719.0,445.33333333333326
186,186,"[C8, C17, C7, C39, C15, C25]",avm,1,1,459.9991988862061,459.0,397.33333333333326
187,187,"[C8, C17, C7, C39, C15, C25]",avm,1,1,738.9991287159912,738.0,365.33333333333326
